연도,번호,학교명,학교유형,설립,지역,대학규모,도서자료_종수_국내서,도서자료_종수_국외서,도서자료_종수_계,도서자료_책수_국내서,도서자료_책수_국외서,도서자료_책수_계,전자자료_전자저널_패키지,전자자료_웹DB_패키지,전자자료_[구독] e-Book_종수,전자자료_동영상강의자료(e-Learning)_패키지,전자자료_합계_패키지,전자자료_합계_종수,연속간행물_국내,연속간행물_국외,연속간행물_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_구입,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_기증,연간 장서 증가 및 폐기 책수_연간 장서 증가 책수_합계,연간 장서 증가 및 폐기 책수_연간 장서 증가 종수,연간 장서 증가 및 폐기 책수_연간 장서 폐기 책수,재학생 1인당 소장도서수_소장도서수,재학생 1인당 소장도서수_재학생수(전년도),재학생 1인당 소장도서수_재학생 1인당 소장도서수,연간장서증가율_연간장서증가책수,연간장서증가율_소장도서수,연간장서증가율_연간장서증가율
2018,160,명지대학교,대학,사립,서울,A그룹,581110,239523,820633,1069638,318306,1387944,26,15,359576,12,53,359576,1164,103,1267,68708,10540,79248,65355,0,1387944,15879,87.4000015258789,79248,1387944,6.099999904632568
2018,161,명지전문대학,전문대학,사립,서울,A그룹,104367,11497,115864,208615,13828,222443,4,3,9196,2,9,9196,2363,140,2503,9257,6908,16165,9423,0,222443,7115,31.299999237060547,16165,222443,7.800000190734863
2018,162,목원대학교,대학,사립,대전,B그룹,211178,170494,381672,397646,235038,632684,8,15,136612,7,30,136612,445,33,478,18710,9505,28215,20868,417,632684,8701,72.69999694824219,28215,632684,4.699999809265137
2018,163,목포가톨릭대학교,대학,사립,전남,C그룹,33132,3445,36577,42918,3521,46439,3,5,8843,0,8,8843,22,4,26,1408,32,1440,1143,0,46439,558,83.19999694824219,1440,46439,3.200000047683716
2018,164,목포과학대학교,전문대학,사립,전남,B그룹,58906,4417,63323,64287,5663,69950,0,3,3287,0,3,3287,31,0,31,2091,0,2091,1653,1,69950,2403,29.100000381469727,2091,69950,3.0999999046325684
2018,165,문경대학교,전문대학,사립,경북,C그룹,28675,187,28862,39865,210,40075,0,2,2158,0,2,2158,81,0,81,805,189,994,871,590,40075,905,44.29999923706055,994,40075,2.5
2018,166,배재대학교,대학,사립,대전,B그룹,196334,155270,351604,441312,206546,647858,7,11,115139,3,21,115139,335,129,464,22147,46686,68833,60572,38,647858,9160,70.69999694824219,68833,647858,11.899999618530273
2018,167,배화여자대학교,전문대학,사립,서울,B그룹,73748,3379,77127,145134,4109,149243,2,0,4014,0,2,4014,79,18,97,2998,895,3893,2200,867,149243,3127,47.70000076293945,3893,149243,2.700000047683716
2018,168,백석대학교,대학,사립,충남,A그룹,356273,315033,671306,727548,351649,1079197,5,14,463227,9,28,463227,221,82,303,179751,9390,189141,182522,0,1079197,14316,75.4000015258789,189141,1079197,21.299999237060547
2018,169,백석문화대학교,전문대학,사립,충남,A그룹,84844,15111,99955,167630,20467,188097,5,1,10232,3,9,10232,18,0,18,4160,1920,6080,5103,0,188097,5556,33.900001525878906,6080,188097,3.299999952316284
2018,170,백석예술대학,전문대학,사립,서울,A그룹,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018,171,백제예술대학교,전문대학,사립,전북,C그룹,31314,1298,32612,42843,2241,45084,0,0,1126,0,0,1126,34,0,34,2018,0,2018,2012,0,45084,1554,29,2018,45084,4.699999809265137
